Species,UTMCODE,SCPTS.2023.value,RLS_VAL_2021,SPEC_VAL_2023,EPS_VAL_2023
Alauda arvensis,CH0040,0,7,5,5
Alauda arvensis,CH1000,0,7,5,5
Alauda arvensis,CH1010,0,7,5,5
Alauda arvensis,CH1020,0,7,5,5
Alauda arvensis,CH1030,0,7,5,5
Alauda arvensis,CH1040,0,7,5,5
Alauda arvensis,CH2000,0,7,5,5
Alauda arvensis,CH2010,0,7,5,5
Alauda arvensis,CH2020,0,7,5,5
Alauda arvensis,CH2030,0,7,5,5
Alauda arvensis,CH2040,0,7,5,5
Alauda arvensis,CH3000,0,7,5,5
Alauda arvensis,CH3010,0,7,5,5
Alauda arvensis,CH3020,0,7,5,5
Alauda arvensis,CH3030,0,7,5,5
Alauda arvensis,CH4000,0,7,5,5
Alauda arvensis,CH4010,0,7,5,5
Alauda arvensis,CH4020,0,7,5,5
Alauda arvensis,CH5000,0,7,5,5
Alauda arvensis,CH5010,0,7,5,5
Alauda arvensis,CH5020,0,7,5,5
Alauda arvensis,CH5030,0,7,5,5
Alauda arvensis,CH6000,0,7,5,5
Alauda arvensis,CH6010,0,7,5,5
Alauda arvensis,CH6020,0,7,5,5
Alauda arvensis,CH7010,0,7,5,5
Alauda arvensis,CH8000,0,7,5,5
Alauda arvensis,CH9000,0,7,5,5
Alauda arvensis,DD8070,0,7,5,5
Alauda arvensis,DG0020,0,7,5,5
Alauda arvensis,DG0030,0,7,5,5
Alauda arvensis,DG0040,0,7,5,5
Alauda arvensis,DG0070,0,7,5,5
Alauda arvensis,DG0080,0,7,5,5
Alauda arvensis,DG0090,0,7,5,5
Alauda arvensis,DG1080,0,7,5,5
Alauda arvensis,DG1090,0,7,5,5
Alauda arvensis,DG2000,0,7,5,5
Alauda arvensis,DG2070,0,7,5,5
Alauda arvensis,DG2080,0,7,5,5
Alauda arvensis,DG2090,0,7,5,5
Alauda arvensis,DG3080,0,7,5,5
Alauda arvensis,DG3090,0,7,5,5
Alauda arvensis,DG4020,0,7,5,5
Alauda arvensis,DG4050,0,7,5,5
Alauda arvensis,DG4080,0,7,5,5
Alauda arvensis,DG4090,0,7,5,5
Alauda arvensis,DG5080,0,7,5,5
Alauda arvensis,DG5090,0,7,5,5
Alauda arvensis,DG7020,0,7,5,5
Alauda arvensis,DG8060,0,7,5,5
Alauda arvensis,DG8070,0,7,5,5
Alauda arvensis,DG9080,0,7,5,5
Alauda arvensis,DH0000,0,7,5,5
Alauda arvensis,DH1000,0,7,5,5
Alauda arvensis,DH9000,0,7,5,5
Alauda arvensis,ED0050,0,7,5,5
Alauda arvensis,ED0080,0,7,5,5
Alauda arvensis,ED0090,0,7,5,5
Alauda arvensis,EE1000,0,7,5,5
Alauda arvensis,EG0070,0,7,5,5
Alauda arvensis,EG1050,0,7,5,5
Alauda arvensis,EG1060,0,7,5,5
Alauda arvensis,EG1070,0,7,5,5
Alauda arvensis,FT4020,0,7,5,5
Alauda arvensis,MH7050,0,7,5,5
Alauda arvensis,MH7060,0,7,5,5
Alauda arvensis,MH8040,0,7,5,5
Alauda arvensis,MH8080,0,7,5,5
Alauda arvensis,MH9000,0,7,5,5
Alauda arvensis,MH9010,0,7,5,5
Alauda arvensis,MH9040,0,7,5,5
Alauda arvensis,MH9060,0,7,5,5
Alauda arvensis,MH9080,0,7,5,5
Alauda arvensis,NG1050,0,7,5,5
Alauda arvensis,NG1090,0,7,5,5
Alauda arvensis,NG3070,0,7,5,5
Alauda arvensis,NG4060,0,7,5,5
Alauda arvensis,NG4080,0,7,5,5
Alauda arvensis,NG4090,0,7,5,5
Alauda arvensis,NG5080,0,7,5,5
Alauda arvensis,NG5090,0,7,5,5
Alauda arvensis,NG8030,0,7,5,5
Alauda arvensis,NG8040,0,7,5,5
Alauda arvensis,NG8060,0,7,5,5
Alauda arvensis,NG9040,0,7,5,5
Alauda arvensis,NG9050,0,7,5,5
Alauda arvensis,NH0000,0,7,5,5
Alauda arvensis,NH0010,0,7,5,5
Alauda arvensis,NH0020,0,7,5,5
Alauda arvensis,NH1000,0,7,5,5
Alauda arvensis,NH1050,0,7,5,5
Alauda arvensis,NH1090,0,7,5,5
Alauda arvensis,NH2020,0,7,5,5
Alauda arvensis,NH2070,0,7,5,5
Alauda arvensis,NH2090,0,7,5,5
Alauda arvensis,NH3040,0,7,5,5
Alauda arvensis,NH3050,0,7,5,5
Alauda arvensis,NH3060,0,7,5,5
Alauda arvensis,NH3090,0,7,5,5
Alauda arvensis,NH4000,0,7,5,5
Alauda arvensis,NH4010,0,7,5,5
Alauda arvensis,NH4050,0,7,5,5
Alauda arvensis,NH4080,0,7,5,5
Alauda arvensis,NH4090,0,7,5,5
Alauda arvensis,NH5000,0,7,5,5
Alauda arvensis,NH5010,0,7,5,5
Alauda arvensis,NH5020,0,7,5,5
Alauda arvensis,NH5040,0,7,5,5
Alauda arvensis,NH5060,0,7,5,5
Alauda arvensis,NH5090,0,7,5,5
Alauda arvensis,NH6010,0,7,5,5
Alauda arvensis,NH6060,0,7,5,5
Alauda arvensis,NH7020,0,7,5,5
Alauda arvensis,NH8010,0,7,5,5
Alauda arvensis,NH8080,0,7,5,5
Alauda arvensis,NH9020,0,7,5,5
Alauda arvensis,NJ5000,0,7,5,5
Alauda arvensis,NJ5010,0,7,5,5
Alauda arvensis,NJ5020,0,7,5,5
Alauda arvensis,NJ6020,0,7,5,5
Alauda arvensis,NJ7020,0,7,5,5
Alauda arvensis,NJ7030,0,7,5,5
Alauda arvensis,NJ8010,0,7,5,5
Alauda arvensis,NJ8020,0,7,5,5
Alauda arvensis,NJ8040,0,7,5,5
Alauda arvensis,NJ9010,0,7,5,5
Alauda arvensis,NJ9030,0,7,5,5
Alauda arvensis,PB4010,0,7,5,5
Alauda arvensis,PE8050,0,7,5,5
Alauda arvensis,PE9070,0,7,5,5
Alauda arvensis,PE9080,0,7,5,5
Alauda arvensis,PF9010,0,7,5,5
Alauda arvensis,PF9020,0,7,5,5
Alauda arvensis,PF9030,0,7,5,5
Alauda arvensis,PF9040,0,7,5,5
Alauda arvensis,PF9050,0,7,5,5
Alauda arvensis,PG0050,0,7,5,5
Alauda arvensis,PG0060,0,7,5,5
Alauda arvensis,PG0070,0,7,5,5
Alauda arvensis,PG1030,0,7,5,5
Alauda arvensis,PG1040,0,7,5,5
Alauda arvensis,PG1050,0,7,5,5
Alauda arvensis,PG1060,0,7,5,5
Alauda arvensis,PG1070,0,7,5,5
Alauda arvensis,PG1080,0,7,5,5
Alauda arvensis,PG2030,0,7,5,5
Alauda arvensis,PG2040,0,7,5,5
Alauda arvensis,PG2060,0,7,5,5
Alauda arvensis,PG2070,0,7,5,5
Alauda arvensis,PG2080,0,7,5,5
Alauda arvensis,PG3030,0,7,5,5
Alauda arvensis,PG3080,0,7,5,5
Alauda arvensis,PG3090,0,7,5,5
Alauda arvensis,PG4030,0,7,5,5
Alauda arvensis,PG4050,0,7,5,5
Alauda arvensis,PG4060,0,7,5,5
Alauda arvensis,PG4070,0,7,5,5
Alauda arvensis,PG4080,0,7,5,5
Alauda arvensis,PG4090,0,7,5,5
Alauda arvensis,PG5040,0,7,5,5
Alauda arvensis,PG5050,0,7,5,5
Alauda arvensis,PG5070,0,7,5,5
Alauda arvensis,PG6040,0,7,5,5
Alauda arvensis,PG6050,0,7,5,5
Alauda arvensis,PG6060,0,7,5,5
Alauda arvensis,PG6070,0,7,5,5
Alauda arvensis,PG6080,0,7,5,5
Alauda arvensis,PG7040,0,7,5,5
Alauda arvensis,PG7050,0,7,5,5
Alauda arvensis,PG7060,0,7,5,5
Alauda arvensis,PG7070,0,7,5,5
Alauda arvensis,PG8040,0,7,5,5
Alauda arvensis,PG8050,0,7,5,5
Alauda arvensis,PG8060,0,7,5,5
Alauda arvensis,PG8070,0,7,5,5
Alauda arvensis,PG8080,0,7,5,5
Alauda arvensis,PG9040,0,7,5,5
Alauda arvensis,PG9050,0,7,5,5
Alauda arvensis,PG9060,0,7,5,5
Alauda arvensis,PG9070,0,7,5,5
Alauda arvensis,PG9090,0,7,5,5
Alauda arvensis,PH0030,0,7,5,5
Alauda arvensis,PH0040,0,7,5,5
Alauda arvensis,PH1030,0,7,5,5
Alauda arvensis,PH1050,0,7,5,5
Alauda arvensis,PH1060,0,7,5,5
Alauda arvensis,PH1070,0,7,5,5
Alauda arvensis,PH1080,0,7,5,5
Alauda arvensis,PH1090,0,7,5,5
Alauda arvensis,PH2040,0,7,5,5
Alauda arvensis,PH2080,0,7,5,5
Alauda arvensis,PH2090,0,7,5,5
Alauda arvensis,PH4010,0,7,5,5
Alauda arvensis,PH4040,0,7,5,5
Alauda arvensis,PH4050,0,7,5,5
Alauda arvensis,PH5010,0,7,5,5
Alauda arvensis,PH5020,0,7,5,5
Alauda arvensis,PH6000,0,7,5,5
Alauda arvensis,PH6010,0,7,5,5
Alauda arvensis,PH6020,0,7,5,5
Alauda arvensis,PH6040,0,7,5,5
Alauda arvensis,PH6070,0,7,5,5
Alauda arvensis,PH6090,0,7,5,5
Alauda arvensis,PH7000,0,7,5,5
Alauda arvensis,PH7010,0,7,5,5
Alauda arvensis,PH7020,0,7,5,5
Alauda arvensis,PH7030,0,7,5,5
Alauda arvensis,PH7090,0,7,5,5
Alauda arvensis,PH8000,0,7,5,5
Alauda arvensis,PH8020,0,7,5,5
Alauda arvensis,PH8040,0,7,5,5
Alauda arvensis,PH8080,0,7,5,5
Alauda arvensis,PH9040,0,7,5,5
Alauda arvensis,PH9060,0,7,5,5
Alauda arvensis,PH9070,0,7,5,5
Alauda arvensis,PH9080,0,7,5,5
Alauda arvensis,PH9090,0,7,5,5
Alauda arvensis,PJ0000,0,7,5,5
Alauda arvensis,PJ1000,0,7,5,5
Alauda arvensis,PJ1010,0,7,5,5
Alauda arvensis,PJ2010,0,7,5,5
Alauda arvensis,PJ2020,0,7,5,5
Alauda arvensis,PJ5000,0,7,5,5
Alauda arvensis,PJ5020,0,7,5,5
Alauda arvensis,PJ6000,0,7,5,5
Alauda arvensis,PJ6010,0,7,5,5
Alauda arvensis,PJ6020,0,7,5,5
Alauda arvensis,PJ7000,0,7,5,5
Alauda arvensis,PJ7010,0,7,5,5
Alauda arvensis,PJ7020,0,7,5,5
Alauda arvensis,PJ8000,0,7,5,5
Alauda arvensis,PJ8010,0,7,5,5
Alauda arvensis,PJ9010,0,7,5,5
Alauda arvensis,PJ9020,0,7,5,5
Alauda arvensis,QA3060,0,7,5,5
Alauda arvensis,QA3080,0,7,5,5
Alauda arvensis,QA3090,0,7,5,5
Alauda arvensis,QA4040,0,7,5,5
Alauda arvensis,QA4050,0,7,5,5
Alauda arvensis,QA4080,0,7,5,5
Alauda arvensis,QA5050,0,7,5,5
