ESP_LAT,ESP_CAS,Family,Order,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Range.Size,Ref1,hab_breadth,Ref3,adult_length_cm,female_maturity_d,clutch_size_n,clutches_per_y,maximum_longevity_y,egg_mass_g,incubation_d,fledging_age_d,longevity_y,Ref4,Ref5,PopulationDensity_ind_km2,Ref6,birth_or_hatching_weight_g,brain_size_g,relative_brain_size,Ref7,Degree_of_development,Gregariousness,Mating_system,Ref9
Emberiza calandra,Escribano triguero,Emberizidae,Passeriformes,16.2,9.6,6,8.2,24.4,97.2,25.7,71.3,26.5,70.5,48.5,Grassland,3,2,Herbivore,Omnivore,Terrestrial,7483952.2,Tobias_et_al_2022,NA,Cooke_et_al_2019,17.5,364.234,4.5,2,10.58333333,3.91,12.5,12.5,10.5,"https://seo.org/ave/escribano-triguero/ (adult length), Myhrvold_et_al_2015",,NA,,NA,1.17175,,Sayol et al. Unpublished,Altricial,seasonal,polyginic,Mating system (Snow and Perrins 1998_Volume2)  
Falco naumanni,Cernicalo primilla,Falconidae,Falconiformes,19.8,13,9.5,11,29.9,229.3,123.4,105.7,53.9,132.4,152.1,Grassland,3,3,Carnivore,Invertivore,Generalist,9560575.62,Tobias_et_al_2022,9,Cooke_et_al_2019,28.5,545.202,4.2,1,10.91666667,16,27.75,27,6.2,"https://seo.org/ave/cernicalo-primilla/ (adult length), Myhrvold_et_al_2015",,2.03,García et al. 2000,NA,2.855,,Sayol et al. Unpublished,Altricial,seasonal,monogamous,Madroño et al 2004 (gregariousness)
Galerida cristata,Cogujada comun,Alaudidae,Passeriformes,19.8,13.7,4.7,5.4,24.8,103.4,27.7,75.8,26.7,62,42.7,Grassland,3,1,Omnivore,Omnivore,Terrestrial,24389170.69,Tobias_et_al_2022,12,Cooke_et_al_2019,18,365,4.275,2,11.58333333,3.24,12,15,8.791666667,"https://seo.org/ave/cogujada-comun/ (adult length, incubation, fledging age), Myhrvold_et_al_2015",,15.22,Santini_et_al_2023,NA,1.143,,Sayol et al. Unpublished,Altricial ,seasonal,monogamous,CM
Galerida theklae,Cogujada montesina,Alaudidae,Passeriformes,16.9,10.9,4.6,5.4,24.5,98.4,23,75.3,23.3,58.8,38.2,Shrubland,2,1,Omnivore,Omnivore,Terrestrial,2270448.11,Tobias_et_al_2022,7,Cooke_et_al_2019,17,365,4.07,2,9.12,3.21,12,11,9.12,"https://seo.org/ave/cogujada-montesina/ (adult length, clutches p year, incubation, fledging age), Bird et al 2020 (female maturity_using age at first breeding, longevity based on imputed values_also assigned to max long.), Myhrvold_et_al_2015",,4,Santini_et_al_2023,NA,0.92,,Tsuboi et al 2018,Altricial ,seasonal,monogamous,CM
Glareola pratincola,Canastera comun,Glareolidae,Charadriiformes,20.1,9.9,4.9,6,30.9,181.6,110.6,71.7,60.7,106,84.9,Grassland,3,3,Carnivore,Invertivore,Aerial,5351786.34,Tobias_et_al_2022,9,Cooke_et_al_2019,26,363.468,3,1,12.63,9.95,18,27.5,12.63,"https://seo.org/ave/canastera-comun/ (adult length), Bird et al 2020 (longevity based on imputed values_also assigned to max long.), Myhrvold_et_al_2015",,NA,,7,NA,,Sayol et al. Unpublished,NA,all-year round,monogamous,"cramp 1980, Mating system (Snow and Perrins 1998)"
Melanocorypha calandra,Calandria comun,Alaudidae,Passeriformes,18.7,13,5.4,8.2,27.1,124,46.3,77.3,37.2,61.6,61.6,Grassland,3,2,Omnivore,Omnivore,Terrestrial,5323937.62,Tobias_et_al_2022,4,Cooke_et_al_2019,18.5,365,4.35,2,11.34,4.09,16,20,11.34,"https://seo.org/ave/calandria-comun/ (adult length), Bird et al 2020 (female maturity_using age at first breeding, longevity based on imputed values_also assigned to max long.), Myhrvold_et_al_2015, de juana and Suarez 2020 (fledging age)",,41,Santini_et_al_2023,NA,1.36,,Sayol et al. Unpublished,Altricial ,seasonal,monogamous,CM
Oenanthe hispanica,Collalba rubia,Muscicapidae,Passeriformes,14.4,9.8,3.9,3.6,23.3,89.7,23.2,64.6,26.4,61,18.2,Shrubland,2,3,Omnivore,Invertivore,Insessorial,3529344.19,Tobias_et_al_2022,4,Cooke_et_al_2019,14,365,5,1,4.9,2.45,14,12.6,4.9,"https://seo.org/ave/collalba-rubia-occidental/ (adult length, incubation, and fledging age), Bird et al 2020 (female maturity_using age at first breeding, longevity_copied the same to max long.), Myhrvold_et_al_2015, Suárez, F (1987)",,28,Santini_et_al_2023,NA,NA,,Sayol et al. Unpublished,Altricial,no,monogamous,snow and Perrins 1998
Oenanthe oenanthe,Collalba gris,Muscicapidae,Passeriformes,17.5,10.4,4.5,3.9,27.2,96.2,30.5,64.6,32.1,56.1,24.3,Shrubland,2,3,Carnivore,Invertivore,Insessorial,29248291.46,Tobias_et_al_2022,11,Cooke_et_al_2019,15,365,5.33,1,10.08333333,2.75,13,14.5,9.6,"https://seo.org/ave/collalba-gris/ (adult length), Myhrvold_et_al_2015",,14.1,"Santini_et_al_2018, Suárez, F (1987)",2.8,0.81,,Sayol et al. Unpublished,Altricial,seasonal,monogamous,"Lislevand et al 2007 (mating system), snow and Perrins 1998"
Otis tarda,Avutarda euroasiatica,Otididae,Otidiformes,62.3,32,15.6,18.5,137.8,550.8,228.5,307.8,42.7,218.3,6759.9,Grassland,3,2,Omnivore,Omnivore,Terrestrial,4521984.02,Tobias_et_al_2022,3,Cooke_et_al_2019,90,650,2.5,1,28.3,144.5,24.5,33.75,28.3,"https://seo.org/ave/avutarda-comun/ (adult length), Myhrvold_et_al_2015, Martin et al. 2008 (female maturity)",,1.39,Santini_et_al_2023,88.5,10.8,,Sayol et al. Unpublished,Precocial,seasonal,polyginic,CM
Pterocles alchata,Ganga iberica,Pteroclidae,Pterocliformes,17.9,10.1,6.9,9,27.6,194,120.2,75.2,61.5,142,275.8,Grassland,3,2,Herbivore,Granivore,Terrestrial,3142814.68,Tobias_et_al_2022,4,Cooke_et_al_2019,35,363.468,3,2,17.3,24.5,22.5,25,17.3,"https://seo.org/ave/ganga-iberica/ (adult length), Bird et al 2020 (longevity based on imputed values_also assigned to max long.), Myhrvold_et_al_2015",,1.25,Sanz-Perez et al in prep.,16.5,1.45,,Sayol et al. Unpublished,Precocial,seasonal,monogamous,AB+CM
Pterocles orientalis,Ganga ortega,Pteroclidae,Pterocliformes,19.7,9.9,5.7,7,25.7,228.2,145.5,83,63.7,90.2,404.9,Grassland,3,2,Herbivore,Granivore,Terrestrial,5783511.92,Tobias_et_al_2022,5,Cooke_et_al_2019,35,363.468,2.76,2,18.76,27.5,25.5,25,18.76,"https://seo.org/ave/ganga-ortega/ (adult length), Bird et al 2020 (longevity based on imputed values_also assigned to max long.), Myhrvold_et_al_2015",,1.33,Mougeot et al. Submitted,18.5,2.4,,Sayol et al. Unpublished,Precocial,seasonal,monogamous,AB+CM
Sylvia conspicillata,Curruca tomillera,Sylviidae,Passeriformes,11.7,6,2.4,2.4,17.9,55.4,10.8,44.8,19.4,51.1,9,Shrubland,2,3,Carnivore,Invertivore,Insessorial,1315716.19,Tobias_et_al_2022,3,Cooke_et_al_2019,12.5,365,5,2.5,8.43,1.37,12.5,11.5,8.43,"https://seo.org/ave/curruca-tomillera/ (adult length, incubation, fledging age), Bird et al 2020 (female maturity_using age at first breeding, longevity based on imputed values_also assigned to max long.), Myhrvold_et_al_2015",,3.57,Santini_et_al_2023,NA,NA,,Sayol et al. Unpublished,Altricial,no,monogamous,Snow and Perrins 1998
Tetrax tetrax,Sison comun,Otididae,Otidiformes,20.56,14.4,7.8,9.19,66.42,244.57,98,142.1,40.8,99.59,857.7,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,5061737.32,"Bretagnolle_et_al_2022; V_Bretagnolle, A_Wolf, P_Devoucoux unpublished; MB_Morales, EL_García de la Morena unpublished; S_Mañosa, G_Bota unpublished",3,Cooke_et_al_2019,42.5,318,3.26,1,18,41,21,27.5,10,"https://seo.org/ave/sison-comun/ (adult length), Bird et al 2020 (longevity based on imputed values_also assigned to max long.), Myhrvold_et_al_2015, M.B. Morales (expert)",,4.54,Mañosa et al. 2022,25,7.62,,Sayol et al. Unpublished,Precocial,seasonal,polyginic,AB
