"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.01736 3735 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01763 3734 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01789 3733 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01815 3732 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01842 3731 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01868 3730 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01894 3729 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01921 3728 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01947 3727 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01973 3726 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01999 3725 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02026 3724 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02052 3723 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02078 3722 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02105 3721 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02131 3720 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02157 3719 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02184 3718 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02210 3717 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02236 3716 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02263 3715 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02289 3714 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
